title,condition,price,items,placement,seller_name,seller_rating
Front Left Driver Side Strut Spring Shock Absorber fit 07-12 Nissan Sentra 2.0L,New,US $82.50,"Shock, Strut","Front, Left",morecarautoparts,99% positive feedback
FWD Rear Shock Absorbers for 2009 2010 2011 2012 Toyota Venza 172966 172967,New,US $139.99,"Coil Spring, Strut","Rear, Left, Right",car_foryou,93.9% positive feedback
Front Left Strut Spring Shock Absorber fit for 02-07 Saturn Vue 2.2L 3.0L 3.5L,New,US $166.95,"Shock, Strut","Front, Left",morecarautoparts,99% positive feedback
For Dodge Ram 1500 2500 RWD 94-02 Front Rear Shock Absorbers Kit Set 4PCS Monroe,New,US $133.95,32277 / 32278,"Front, Left, Left driver side & Right passenger side, Rear, Right",Bold Auto Parts,98.6% positive feedback
Yeah Racing DSG-0055BU Shocks 55mm Damper Shock (4) Blue for 1/10 Touring Car,New,US $27.99,,,GO NITRO HOBBIES,99.8% positive feedback
519-36 AC Delco Front Shock Absorbers With Spring Assemblies Set of 2 for Chevy,New,US $116.95,,"Left or Right, Front",Bold Auto Parts,98.6% positive feedback
"FOR BMW 1 SERIES E81 E87 MSPORT MTECH FULL CAR SET SHOCK ABSORBERS FRONT,REAR",New,GBP 119.95,"Shock, Strut",,Shocks Direct UK Ltd,99.9% positive feedback
"for VW PASSAT (3B 5,6 1996-2005 FRONT REAR SHOCK ABSORBERS SHOCKS FULL CAR SET",New,GBP 69.95,Shock,"Front, Left, Rear, Right",Shocks Direct UK Ltd,99.9% positive feedback
Ford Crown Victoria Lincoln Town Car Shock Absorbers Fits All Rear Left & Right,New,US $43.86,Strut Bar,"Left, Rear, Right",Detroit Axle,97.6% positive feedback
"HSP 1/10 Model Car Spare Parts , Nitro/Electric, On-road/Off-Road, 02001-02052",New,US $3.99,,,Zero_kent,100% positive feedback
ALUMINUM SHOCKS W/ 4mm Shafts Fit Team Losi 22S Drag Car Silver,New,US $26.99,,,MonsterKingz,98.8% positive feedback
US Car Universal Shock Absorber Spring Auto-buffer For Dodge Ram Corolla GMC,New,US $11.39/ea,,,yiyasu-direct,98.8% positive feedback
"for VAUXHALL ZAFIRA B 05>11 FRONT 2 ,REAR 2 FULL CAR SET OF 4 SHOCK ABSORBERS",New,GBP 99.95,Shock,"Front, Left, Rear, Right",Shocks Direct UK Ltd,99.9% positive feedback
2 Front Shocks Struts Kit for 2003-2011 Town Car Crown Victoria Grand Marquis,New,US $999.00,,"Front, Left, Right",Mocaautoparts,98.4% positive feedback
KYB 3418002 Car Shock Absorber Fits BMW,New other (see details),GBP 79.53,,,Clearance Shop For All,98.9% positive feedback
NK 65351002 Car Shock absorber Fits KIA,New other (see details),GBP 121.99,,,Clearance Shop For All,98.9% positive feedback
GPM ERV348 Blue Aluminum Spring Shock Damper Set For Traxxas 1/16 Mini E Revo,New,US $15.50,,,RC Jaz Hobby Shop,99.7% positive feedback
Fit For Lincoln Town Car Ford Crown Victoria Rear Air Suspension Spring Shock,New,US $38.94,,"Left, Rear, Right",4umotorcarparts,98.9% positive feedback
GPM Alloy Front/Rear Shock Absorber Negative Pressure for TRAXXAS 1/6 XRT 172MM,New,US $67.00,,,Fidracingstore,98.8% positive feedback
CLASSIC MINI KYB GAS-A-JUST SHOCK ABSORBERS - FULL CAR SET,New,GBP 160.00,,"Front, Left, Rear, Right",J&K Supplies Ltd,99.8% positive feedback
Set of 4 Front-Rear Shock For 1971-1996 Chevrolet Caprice Police Car and Taxi,New,US $85.14,Shock,"Left, Right, Front, Rear",QTE Auto,99% positive feedback
GPM Alloy Front + Rear Shock Absorber Dampers for ARRMA KRATON 1/8 115MM + 135MM,New,US $55.00,,,Fidracingstore,98.8% positive feedback
Pair Front Shock Absorber For Ford Crown Victoria Lincoln Town Car Grand Marquis,New,US $106.96,"Coil Spring, Strut Bar","Front, Left, Right",ultimatecar,98.3% positive feedback
KYX Aluminum shock absorber Lower Fixed seat for RC car LOSI 1/18 MINI LMT,New,US $13.95,,,KYX MODEL,98.4% positive feedback
Jaguar XJ6 XJS Shock Absorber Set Fits XJS XJ6 XJ12 (Car Set of 6) Woodhead,New,US $382.19/ea,"Bushing, Shock","Front, Rear",Vintage Imports Inc,99.9% positive feedback
4pcs 78mm Aluminum Shocks Absorbers Damper for 1/18 RC Crawler TRX4M TRX4-M Car,New,US $11.61,,,YHRCstoreDIY,98.6% positive feedback
"Bilstein shocks F4 B460207ZE S9Z3050  9"" Street Super stock, Sport mod, Race Car",New,US $89.00,,,RacetechChassis,100% positive feedback
4pcs 53/59/66mm Aluminum Shocks Absorbers Damper for 1/18 RC Crawler TRX4M Car,New,US $10.83,,,YHRCstoreDIY,98.6% positive feedback
Sachs 312260 Car Shock Absorber Fits CHRYSLER,New other (see details),GBP 62.88,,,Clearance Shop For All,98.9% positive feedback
For Chevy Express 2500 3500 GMC Savana 2500 03-15 Front & Rear Shocks Set Monroe,New,US $169.95,34530 / 34763,"Front, Rear",Bold Auto Parts,98.6% positive feedback
2x Rear Shock Absorbers for 2009 2010 2011 2012 2013 2014 2015 Honda Pilot 3.5L,New,US $42.99,,"Rear, Left, Right",carparts-centre-cc,98% positive feedback
SHOCK ABSORBER 22-214751 FOR MERCEDES-BENZ SPRINTER/2-t/Platform/Chassis/Van,New,GBP 114.02,,,Parts4Car,98.5% positive feedback
2Pcs ZD Racing Front Raer Shock Absorber Damper Suspension for 1/10 HSP RC Car,New,US $10.67/ea,,,Eagle RC-Toys,98.6% positive feedback
Pro-Line Axial SCX24/AX24 Big Bore Scaler Shocks (50mm) (4) [PRO6391-00],New,US $33.99,,,AMain Sports & Hobbies,99.7% positive feedback
AK18 Monroe Air Shock Line Hose Kit Rear for Chevy Suburban Citation Coupe Sedan,New,US $28.95,,Rear,Bold Auto Parts,98.6% positive feedback
1965-1969 Chevrolet Corvair Passenger Car Gabriel Gas Shocks Front & Rear,New,US $139.25,,"Front, Rear",ALL RITE AUTO PARTS,99.3% positive feedback
Pair (2) Rear Shock Absorbers for Ford Crown Victoria LTD Mercury Grand Marquis,New,US $44.81,,,Detroit Axle,97.6% positive feedback
"Bilstein shocks 7"" Street Super stock, Sport mod, Race Car IMCA  S7G4545",New,US $49.00/ea,,,RacetechChassis,100% positive feedback
Monroe Front & Rear Shock Absorbers Set of 4 For Chevy Silverado GMC Sierra 4WD,New,US $121.95,,"Front, Left, Left driver side & Right passenger side, Rear, Right",Bold Auto Parts,98.6% positive feedback
Rear Shock Absorbers For Buick Enclave /Chevy Traverse GMC Acadia Saturn Outlook,New,US $39.99,"Shock, Strut Bar","Rear, Left, Right",car_foryou,93.9% positive feedback
Genuine Toyota Alphard Rear Shock Absorber Set 48530-58110 RH & LH Alphard AGH30,New,GBP 149.99,Shock,,PARTS4HYBRID,99.9% positive feedback
"Bilstein shocks 7"" Street Super stock, Sport mod, Race Car IMCA S7M6565",New,US $29.00/ea,,,RacetechChassis,100% positive feedback
Genuine Toyota Alphard Rear Shock Absorbers Set Ath20 Oem 48530-80625 RH & LH,New,GBP 154.99,Shock,,PARTS4HYBRID,99.9% positive feedback
Tamiya 50598/0225070 CVA Mini Shocks Unit II V Parts (Damper Collar) 2 Pcs. NIP,New,GBP 5.94,,,TTP Models,99.9% positive feedback
Mazda MX5 MK2 Standard Shock Absorbers & Springs – Full Car Set High Spec 98>05,New,GBP 374.95,,"Front, Rear",MX5 Heaven,99% positive feedback
